,Date,CPI
2,2004Q1,187.4
5,2004Q2,189.7
8,2004Q3,189.9
11,2004Q4,190.3
14,2005Q1,193.3
17,2005Q2,194.5
20,2005Q3,198.8
23,2005Q4,196.8
26,2006Q1,199.8
29,2006Q2,202.9
32,2006Q3,202.9
35,2006Q4,201.8
38,2007Q1,205.352
41,2007Q2,208.352
44,2007Q3,208.49
47,2007Q4,210.036
50,2008Q1,213.528
53,2008Q2,218.815
56,2008Q3,218.783
59,2008Q4,210.228
62,2009Q1,212.709
65,2009Q2,215.693
68,2009Q3,215.969
71,2009Q4,215.949
74,2010Q1,217.631
77,2010Q2,217.965
80,2010Q3,218.439
83,2010Q4,219.179
86,2011Q1,223.467
89,2011Q2,225.722
92,2011Q3,226.889
95,2011Q4,225.672
98,2012Q1,229.392
101,2012Q2,229.478
104,2012Q3,231.407
107,2012Q4,229.601
110,2013Q1,232.773
113,2013Q2,233.504
116,2013Q3,234.149
119,2013Q4,233.049
122,2014Q1,236.293
125,2014Q2,238.343
128,2014Q3,238.031
131,2014Q4,234.812
134,2015Q1,236.119
137,2015Q2,238.638
140,2015Q3,237.945
143,2015Q4,236.525
146,2016Q1,238.132
149,2016Q2,241.018
152,2016Q3,241.428
155,2016Q4,241.432
158,2017Q1,243.801
161,2017Q2,244.955
164,2017Q3,246.819
167,2017Q4,246.524
170,2018Q1,249.554
173,2018Q2,251.989
176,2018Q3,252.439
179,2018Q4,251.233
182,2019Q1,254.202
185,2019Q2,256.143
188,2019Q3,256.759
191,2019Q4,256.974
194,2020Q1,258.115
197,2020Q2,257.797
200,2020Q3,260.28
203,2020Q4,260.474
206,2021Q1,264.877
209,2021Q2,271.696
212,2021Q3,274.31
215,2021Q4,278.802
218,2022Q1,287.504
221,2022Q2,296.311
224,2022Q3,296.808
227,2022Q4,296.797
230,2023Q1,301.836
